,Topic,Count,Name,Representation,Representative_Docs
149,148,714,148_que_en_la_el,"['que', 'en', 'la', 'el', 'es', 'los', 'arf', 'por', 'una', 'se']","['que beneficios van a quitarnos si algo hay que quitar es todo el fraude de welfare fraude de disability fraude de food stamps el fraude de medicaid el fraude de medicare la seguridad social y el medicare fueron extra dos de nuestros bolsillos de nuestra labor y estos no se pueden quitar y nadie aceptar a retirarlos ya que fueron pagados por los beneficiarios si ahora hay pocos recursos en el gobierno ha sido por la ladroner a de los democratas los cuales han usado ese dinero para proveer dinero gratis a gente que no le da ganas de trabajar pero lo que a m mas me concierne es que si seguimos con los democratas vamos a dejar un mundo lleno de musulmanes mis genos que amenazaran y atacaran a nuestras hijas nietas sobrinas tambien vamos a dejar un mundo de perversiones con hombres vestidos con tacones y vestidos de mujer y entrando en los ba os y los vestidores de las ni as y mujeres y vamos a dejar un mundo en el cual la familia que siempre antes tuvo la funcci n de cuidar de todos los miembros de ella no existir en su lugar existir n unas agrupaciones de desviados y perversos un mundo horroroso no pienso votar por m s ningun democrata est n convirtiendo el pais en un sitio horror fico', 'part mientras que sobre la prensa antisocialista de los usa y mundial podemos decir que le inyecta veneno con odio a la forma en que critica a los autollamados paises socialistas donde el mensaje detras de cada informaci n es hay que destriur al sistema socialista hay que borrarlo del mapa de la tierra por eso no me extra a que ocasio los califique de odiadores debido a que su odio envenenado es algo que no pueden ocultar en la forma en que transmiten sus informaciones sobre sus contrarios es algo que no ocultan el llamado constante a luchar de forma violenta y por el metodo que sea contra el socialismo es una constante en esta prensa favorable al sistema capitalista no se esconden para decirlo no tienen reparo en hacerlo y siempre tratan de decirnos que solo en el sistema de vida capitalista los seres humanos peden ser libres solamente y que si se comete alguna injusticia contra usted las leyes de la sociedad impediran que usted sea maltratado o no reciba justicia como sucede en el sistema socialista segun ellos pero en los paises capitalistas quienes son la mayoria de los paises en el mundo es donde mas pobres y personas viviendo lo mismo como indigentes que como homeless existen si miramos el mapa mundial veremos que la mayoria de la poblaci n mundial vive en paises capitalistas y no en paises llamados socialistas desde pracicamente el surgimiento de los sistemas sociales que conocemos aunque mas bien pudieramos llamar a estos paises dictaduras socialistas de nuevo tipo la verdad es que no se como la prensa capitalista se atreve a llamar a el derrocamiento de los llamados paises socialistas cuando las mayores injusticias estan hoy por hoy en el sistema capitalista me imagino que lo hacen para tapar la suciedad de sus sociedades la poca libertad individual en los paises socialistas y la falta de libertad de expresi n o el castigo por espresarse en contra de los gobiernos en estos paises a sido muy bien aprovechado por la prensa capitalista para ocultar los defectos del capitalismo como sistema social ahora pongamos ejemplos reales de informar con odio envenenado sobre la realidad de paises contrarios al capitalismo vamonos para ello al sur de la florida o estado caballo de troya en la uni n americana la joyita de la extrema derecha internacional en este lugar la prensa lleva una bestial batalla o encarnecida cruzada contra todo lo que se parezca a la palabra socialismo o tenga color semejanza y parentesco con esta palabra tal parece que los cruzados antisocialistas han fundado una tribu canival o califato taliban en este lugar contra los socialistas dentro y fuera de los usa da la impresi n de que en miami dade tienen algun tipo de amuleto hechizeria o brujeria contra el socialismo y su ideologia no dudo que un dia veamos en esta ciudad civilizada y respetuosa de las diferencias apedrear decapitar empalar o ahorcar en un semaforo a quien se declare socialista al estilo de isis en afganistan en miami dade en estos momentos tener un libro sobre el socialismo equivale a ser sometido a un castigo del taliban fijese que toda la informaci n que transmiten en esta ciudad sobre otros paises son solamente lo negativo y a lo que hace falta', 'part repetir la palabra dictadura socialista no es eso de repetir una mentira miles de veces para que sea verdad es la forma mas sutil y inteligente de hacer que las personas odien detesten y deseen que se trague la tierra a alguien que usted quiere eliminar por que le molesta en sus planes joe biden mande a sus generales a luchar de norte a sur y de este a oeste esta es la eleccion de we the people no equivoque la brujula o terminara perdido en un laberinto del que nunca sabra salir el cambio en los estados unidos no lo lograra usted solamente sentado detras de una computadora usted debe de convertir a cada norteamericano en una persona con el poder para devolverle a su pais aquello que precisamente hizo grande a este pais cuando en otros paises los ciudadanos vivian bajo el despotismo y la dominacion de sus lideres como ahora por desgracia ha surgido una persona en los usa que quiere gobernar a los usa de esa misma forma por eso a toda aquella persona que en los usa quiera hacer de este pais el pais donde la justicia la democracia la oportunidad y la libertad no sea algo de unos pocos y siga siendo algo para todos se le debe de dar la oportunidad de ser parte activa por hacer de los estados unidos el pais en el que todos los que vivieron o viven bajo regimenes o gobiernos totalitarios miren como el faro de libertad y la guia de una sociedad libre pues hay que evitar que los estados unidos se convierta con donald trump en el pais desde donde el odio racial la discriminacion social y el peor de todos horrores que la humandidad ha conocido el facismo sea lo que se irradie al planeta pues de suceder eso de seguro se desataria en el mundo todo lo peor de los seres humanos y viviriamos en un mundo donde los sentimientos humanos que predominarian serian el despotismo el racismo la humillacion la ambicion desmedidad y el capitalismo salvaje que pasaria de ser una palabra a ser la realidad de un mundo decadente sin valores humanos y estarian mas cerca cada dia los seres humanos de su extincion como especie solo un tonto puede pensar que donald j trump no es una leccion para que todos entendamos lo que sucede cuando se le permite al horror salir del infierno en donde debe de permanecer encerrado y jamas poder tener la oportunidad de acercarse a los seres humanos en ningun lugar de este mundo tu lugar es en el infierno donald trump si el descontrol del covid los desastres naturales lo hechos violentos por armas de fuego en aumento vertiginoso los mas de muetos de la pandemia ademas de los empleos letrinas y la forma de tratar a los inmigrantes ilegales como tratan a los inmigrantes en gibraltar o palestina no son la antesala de lo que podriamos ver en los estados unidos en los proximos a os de seguir donald trump en la casa blanca mejor sera que digamos que somos superticiosos y que es mentira que la tierra es redonda solo un fanatico un ciego y un frustado como ser humano no verian esta realidad y la negarian nunca dejes entrar en tu cabeza el odio que tu mente sea dominada por la maldad y que tus pensamientos esten guiados por el rencor por que una vez que eso suceda vas a estar a os como los cubanos de la derecha del sur de la florida viviendo con el alma en pena llorando por incapaces y pidiendole al se or que un dia lejano nadie sabe cuando puedan sus sue os hacerse realidad pues la realidad es que sus sue os son solo pesadillas una vida entera desperdiciada en vano y una muestra de que ni en el pais de la libertad su forma de pensar y actuar han tenido una logica y un sentido comun como un amigo mio me dijo una vez cuando vio a unos bagos que vivian pesimamente riendose de que se estan riendo las hienas si no tienen nada de que reirse llevan a os llorando en los usa hay personas que no agradecen lo que la vida les ha dado y por eso la vida se lo ha quitado todo y les ha dado nada']"
150,149,713,149_farmers_farm_subsidies_farms,"['farmers', 'farm', 'subsidies', 'farms', 'farmer', 'pr', 'crop', 'farming', 'agriculture', 'insurance']","['you mean farmers all over america', 'farmers vote republican they get what they want', 'trump to farmers take one for me me me']"
151,150,710,150_omar_omarosa_ilhan_omars,"['omar', 'omarosa', 'ilhan', 'omars', 'tlaib', 'donnie', 'rep', 'aoc', 'somalia', 'anti']","['omar was not wrong', ""omar's people did something"", 'omar does']"
152,151,686,151_fraud_arbitration_dc_defund,"['fraud', 'arbitration', 'dc', 'defund', 'frauds', 'fraudulent', 'hhs', 'states', 'singapore', 'pork']","['must be fraud', ""but you're a fraud"", 'so fraud']"
153,152,679,152_trailer_park_bus_short,"['trailer', 'park', 'bus', 'short', 'facial', 'recognition', 'restaurants', 'food', 'parks', 'trash']","['which trailer park', 'all over your trailer park', 'in your trailer park']"
154,153,675,153_nyt_sinclair_times_york,"['nyt', 'sinclair', 'times', 'york', 'ny', 'newsmax', 'news', 'nyts', 'fake', 'examiner']","['more than the nyt', 'it was in the nyt', 'that nyt times though']"
155,154,675,154_sarcasm_sarcastic_tag_appreciated,"['sarcasm', 'sarcastic', 'tag', 'appreciated', 'noted', 'missed', 'comment', 'recognize', 'tell', 'hope']","['you do not get sarcasm do you', 'sarcasm for', 'that had to be sarcasm']"
156,155,667,155_powell_lynching_colin_lynch,"['powell', 'lynching', 'colin', 'lynch', 'benghazi', 'ford', 'hillary', 'usc', 'clinton', 'powells']","['powell voted for obama x he is not a republican', 'oh that powell', 'so who was the good one powell']"
157,156,658,156_nato_pearl_harbor_europe,"['nato', 'pearl', 'harbor', 'europe', 'countries', 'somalia', 'allies', 'defense', 'alliance', 'refugees']","['no more nato', 'and what do we do about nato', 'not so nato']"
158,157,656,157_doubt_oh_pretty_love,"['doubt', 'oh', 'pretty', 'love', 'lol', 'nope', 'um', 'rightfully', 'really', 'ummm']","['lol no doubt', 'oh yeah no doubt of that', 'lol no doubt']"
159,158,645,158_gaetz_baldwin_matt_alec,"['gaetz', 'baldwin', 'matt', 'alec', 'gaetzs', 'baldwins', 'pedophile', 'hes', 'dui', 'sex']","['matt gaetz', 'what about matt gaetz', 'matt gaetz too']"
160,159,645,159_investigation_gowdy_investigations_trey,"['investigation', 'gowdy', 'investigations', 'trey', 'investigate', 'investigated', 'fbi', 'investigating', 'investigators', 'ongoing']","['only one out of three the other two are still under investigation', ""that's what the investigation is about"", 'what investigation your']"
161,160,644,160_cohen_cohens_michael_lawyer,"['cohen', 'cohens', 'michael', 'lawyer', 'trump', 'attorney', 'pompeo', 'fixer', 'prison', 'cambridge']","[""again cohen cohen isn't president nothing on trump"", ""it's working for cohen"", 'who cohen']"
162,161,634,161_charges_trayvon_thug_charged,"['charges', 'trayvon', 'thug', 'charged', 'jail', 'prison', 'arrested', 'crime', 'violence', 'brown']","['still no charges', 'on what charges', 'what were the charges']"
163,162,630,162_alex_rush_jones_rushs,"['alex', 'rush', 'jones', 'rushs', 'rusher', 'rusha', 'limpballs', 'radio', 'listened', 'listeners']","['alex jones', 'alex jones is that you', 'alex jones']"
164,163,618,163_drones_drone_refugees_flying,"['drones', 'drone', 'refugees', 'flying', 'fly', 'aircraft', 'faa', 'pilot', 'ama', 'bombs']","['says one of his drones', 'give the drones what they want', 'drone not drones']"
165,164,616,164_tillerson_rex_tillersons_moron,"['tillerson', 'rex', 'tillersons', 'moron', 'exxon', 'secretary', 'sanctions', 'putin', 'trump', 'state']","['so would tillerson and a lot of others about trump', 'tillerson never did', 'as has tillerson']"
166,165,609,165_gerrymandering_districts_gerrymandered_redistricting,"['gerrymandering', 'districts', 'gerrymandered', 'redistricting', 'gerrymander', 'district', 'maps', 'democrats', 'map', 'voters']","['gerrymandering was never as bad as it is now', 'i will take that over gerrymandering any day', ""it will be more than just gerrymandering that's for sure""]"
167,166,604,166_user_alert_trezon_attn,"['user', 'alert', 'trezon', 'attn', 'detected', 'prez', 'uh', 'belong', 'comrade', 'agree']","['attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert', 'attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert', 'attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert attn comrade usa user alert all your base prez are belong to us user alert trezon detected user alert']"
168,167,601,167_burger_fries_taco_steak,"['burger', 'fries', 'taco', 'steak', 'meat', 'tacos', 'beef', 'burgers', 'cow', 'eat']","['another nothing burger', 'nothing burger with fries please', 'another nothing burger']"
169,168,597,168_war_mao_wars_maobama,"['war', 'mao', 'wars', 'maobama', 'chairman', 'germany', 'fight', 'ww', 'born', 'nazi']","['why is this our war', 'so war it is', ""we're not at war""]"
170,169,594,169_inflation_dodd_frank_fed,"['inflation', 'dodd', 'frank', 'fed', 'banks', 'transitory', 'rate', 'financial', 'supply', 'economy']","['why why is per year inflation good', 'how do you get that from inflation', 'inflation was in']"
171,170,590,170_stormy_chuck_avenatti_chuckie,"['stormy', 'chuck', 'avenatti', 'chuckie', 'jill', 'levin', 'stormys', 'chucky', 'conspiracy', 'cryin']","['so stormy has nothing on trump after all', 'stormy who', 'that you stormy']"
172,171,587,171_boris_igor_english_johnson,"['boris', 'igor', 'english', 'johnson', 'uk', 'bye', 'ok', 'try', 'thanks', 'damn']","['go boris', 'who s we boris', 'not your call boris']"
173,172,583,172_native_indians_indian_tribe,"['native', 'indians', 'indian', 'tribe', 'tribes', 'indigenous', 'tribal', 'navajo', 'american', 'illegal']","['are you native', 'are you native american', 'native american i mean american indian']"
174,173,569,173_tds_sufferers_suffering_terminal,"['tds', 'sufferers', 'suffering', 'terminal', 'sufferer', 'syndrome', 'cure', 'case', 'lol', 'alert']","['tds much', 'tds much', 'tds again']"
175,174,564,174_gmo_monsanto_gmos_foods,"['gmo', 'monsanto', 'gmos', 'foods', 'crops', 'labeling', 'food', 'roundup', 'corn', 'organic']","[""i do i don't eat monsanto gmo goods"", ""and one to hide the monsanto gmo 'food' protection act and the monsanto gmo 'food' halocaust generally"", ""not all organic or non gmo food is labeled as such so we have to assume it is gmo even if it might not be that limits our choices which isn't fair the fair thing to do is label it all gmo non gmo or organic by the way many farmers care about the quality of their crops and they are for gmo labeling""]"
176,175,555,175_torture_gitmo_tortured_detainees,"['torture', 'gitmo', 'tortured', 'detainees', 'waterboarding', 'prisoners', 'guantanamo', 'interrogation', 'libya', 'war']","['well that would be torture', 'we do not torture', 'what torture']"
177,176,552,176_nancy_carly_leathers_haley,"['nancy', 'carly', 'leathers', 'haley', 'pocahontas', 'weiner', 'nancys', 'bachmann', 'kavanaugh', 'accuses']","['it has become nancy now', 'go nancy', 'this has nothing to do with nancy']"
178,177,551,177_foil_tinfoil_hat_tin,"['foil', 'tinfoil', 'hat', 'tin', 'tight', 'aluminum', 'hats', 'lock', 'loosen', 'adjust']","['hat foil tin', 'your tinfoil hat needs more foil', 'tin foil hat']"
179,178,547,178_hats_maga_hat_neanderthal,"['hats', 'maga', 'hat', 'neanderthal', 'wearing', 'neanderthals', 'gay', 'transgender', 'gays', 'wear']","['were they wearing maga hats', 'like maga hats', ""like trump's maga hats""]"
180,179,539,179_perry_rick_perrys_texas,"['perry', 'rick', 'perrys', 'texas', 'governor', 'energy', 'glasses', 'gov', 'border', 'oops']","['rick perry who am i why am i here', 'perry will say whatever is best for perry', 'trump and perry']"
181,180,533,180_yawn_spin_hasbara_troll,"['yawn', 'spin', 'hasbara', 'troll', 'spinning', 'yawning', 'yawnz', 'trolls', 'spins', 'yawns']","['well he is not yawn', 'yawn anything else', 'yawn and so are you and i']"
182,181,532,181_kushner_deep_dershowitz_state,"['kushner', 'deep', 'dershowitz', 'state', 'kushners', 'jared', 'alan', 'bannon', 'kush', 'cohen']","['is kushner out', 'and kushner', 'trump should fire kushner from everything']"
183,182,522,182_derangement_syndrome_deranged_jade,"['derangement', 'syndrome', 'deranged', 'jade', 'helm', 'trump', 'tds', 'suffering', 'mentally', 'seek']","['has trump derangement syndrome', 'trump derangement syndrome', 'trump derangement syndrome']"
184,183,521,183_va_veterans_vets_care,"['va', 'veterans', 'vets', 'care', 'veteran', 'medical', 'vet', 'hospital', 'private', 'appointment']","[""three va clinics va five doctors one va ortho surgeon two va technicians two va physical therapy departments over a year and a half of misdiagnosis and treatment finally could obtain insurance and my non va medical providers found the real problem in three hours and had me on a treatment course in another two hours two blood clots behind my knee could have been fatal that's how poor the care at va facilities is why is it for those who serve their country are wounded in action and the public says they are heros and patriots the va treats them like scum and gets away with it over and over and over again you get nothing from the va except excuses lies and avoidance it's criminal but no one defends and actually supports the real heros and patriots it's a joke and this new appointment has already sided with the va"", 'what do you know about the va healthcare system', 'va medical care']"
185,184,518,184_booker_huntsman_cory_bookers,"['booker', 'huntsman', 'cory', 'bookers', 'corey', 'newark', 'jon', 'gay', 'spartacus', 'mayor']","['booker who', 'get at it booker t', 'booker is out for booker']"
186,185,514,185_incel_incels_quack_squawk,"['incel', 'incels', 'quack', 'squawk', 'twilight', 'books', 'zone', 'princess', 'dolt', 'parrot']","['you are incel', ""and this is why you're an incel"", ""it's an incel""]"
187,186,513,186_schiff_adam_schiffs_bu,"['schiff', 'adam', 'schiffs', 'bu', 'schiffty', 'nadler', 'brains', 'barr', 'schiffless', 'liar']","['if anyone can spot someone that does not give a schiff it is schiff', 'schiff is not the problem', 'schiff is in deep schiff']"
188,187,509,187_doj_mccabe_dourson_executive,"['doj', 'mccabe', 'dourson', 'executive', 'ag', 'indict', 'trumps', 'branch', 'dojs', 'charges']","['and every one wants his g from doj', ""trump's doj lol"", 'what has he done to the doj']"
189,188,504,188_tariffs_tariff_trade_eu,"['tariffs', 'tariff', 'trade', 'eu', 'goods', 'imports', 'canada', 'exports', 'billion', 'trumps']","['tariffs had something to do with this', 'so why are you for tariffs', 'no tariffs']"
190,189,501,189_gruber_grubers_village_video,"['gruber', 'grubers', 'village', 'video', 'drama', 'gruberite', 'yappa', 'stupid', 'jonathan', 'upload']","['own it gruber', 'you first gruber', 'not to a gruber']"
191,190,500,190_spicer_juan_spicey_sean,"['spicer', 'juan', 'spicey', 'sean', 'spicers', 'todd', 'press', 'juans', 'spice', 'bushes']","['why would he fire spicer it has not even been days yet spicer is more likely to get a raise', ""spicer still can't get a job"", 'spicer would deny his name was spicer if trump told him to']"
192,191,500,191_straw_strawman_straws_grasping,"['straw', 'strawman', 'straws', 'grasping', 'man', 'argument', 'strawmen', 'arguments', 'fallacy', 'nice']","['straw man', 'straw man', 'straw man']"
193,192,499,192_flake_corker_jeff_paul,"['flake', 'corker', 'jeff', 'paul', 'flakes', 'rand', 'ron', 'senator', 'sen', 'corkers']","['i think flake would make a very good president', 'except flake', 'get the flake out']"
194,193,482,193_flagged_bot_bots_banned,"['flagged', 'bot', 'bots', 'banned', 'account', 'blocked', 'troll', 'flagging', 'ip', 'block']","['flagged as well', 'you have been flagged', 'me too i flagged it also']"
195,194,475,194_hoax_tweet_lemon_twitter,"['hoax', 'tweet', 'lemon', 'twitter', 'tweets', 'tweeting', 'radio', 'hoaxes', 'don', 'tweeted']","['what hoax', 'what hoax', 'so much for a hoax']"
196,195,473,195_skippy_dunning_kruger_obtuse,"['skippy', 'dunning', 'kruger', 'obtuse', 'simpleton', 'simpletons', 'effect', 'skip', 'deliberately', 'snarky']","['right skippy', 'is that what you do skippy', 'trump s done skippy']"
197,196,470,196_mitch_mitchs_cruz_turtle,"['mitch', 'mitchs', 'cruz', 'turtle', 'ditch', 'unkle', 'iowa', 'mitchalbum', 'wife', 'schumer']","['move on mitch', 'that you mitch', 'except for mitch']"
198,197,457,197_gqp_hatter_misspelled_carrying,"['gqp', 'hatter', 'misspelled', 'carrying', 'hypocritical', 'card', 'brain', 'red', 'goose', 'stepping']","['well this is the gqp for you', ""what's gqp"", 'what s a gqp']"
199,198,453,198_corruption_corrupt_neocon_party,"['corruption', 'corrupt', 'neocon', 'party', 'majority', 'democrats', 'progressive', 'dems', 'progressives', 'divided']","['what corruption', 'corruption by any other name', 'what corruption']"
200,199,453,199_foundation_clinton_charity_clintons,"['foundation', 'clinton', 'charity', 'clintons', 'hillary', 'donations', 'navigator', 'warren', 'hrc', 'fund']","['same as the clinton foundation', 'what would you call the clinton foundation', 'the clinton foundation']"
201,200,448,200_pruitt_pruitts_scott_greenland,"['pruitt', 'pruitts', 'scott', 'greenland', 'corn', 'swamp', 'regulations', 'power', 'iceland', 'texas']","['good for pruitt', 'i like pruitt', 'keep pruitt']"
202,201,447,201_iowa_kemp_iowans_caucus,"['iowa', 'kemp', 'iowans', 'caucus', 'gallup', 'caucuses', 'poll', 'king', 'iowas', 'moines']","['something like iowa part two', ""what's iowa"", 'see iowa']"
203,202,447,202_asylum_seekers_seeking_entry,"['asylum', 'seekers', 'seeking', 'entry', 'border', 'apply', 'legal', 'seek', 'port', 'illegal']","['where is asylum in the us constitution', 'real asylum seekers ask for asylum in the first country they pass into they do not get to pick any country', 'asylum is legal']"
204,203,443,203_filibuster_filibusters_senate_mcconnell,"['filibuster', 'filibusters', 'senate', 'mcconnell', 'filibustered', 'reid', 'filibustering', 'majority', 'votes', 'minority']","[""except that's in the constitution and filibuster is not"", 'filibuster by democrats', 'the filibuster used to do that too']"
205,204,443,204_freedom_liberty_civics_freedoms,"['freedom', 'liberty', 'civics', 'freedoms', 'slavery', 'libertys', 'law', 'rights', 'laws', 'absence']","['all in the name of freedom', 'freedom is', ""that's what liberty and freedom is all about""]"
206,205,441,205_womp_kettle_citation_pot,"['womp', 'kettle', 'citation', 'pot', 'cool', 'bro', 'story', 'needed', 'meet', 'calling']","['pot kettle', 'pot kettle', 'pot this is kettle you are black']"
207,206,440,206_sheep_sheeple_rapture_sports,"['sheep', 'sheeple', 'rapture', 'sports', 'womens', 'monkey', 'blimp', 'bunker', 'men', 'sheeps']","['just sheep', 'what a sheep', 'something to do with sheep']"
208,207,429,207_bob_azzhole_dave_azzholes,"['bob', 'azzhole', 'dave', 'azzholes', 'bobs', 'snicker', 'azzhats', 'book', 'saget', 'pedro']","['bob on this', 'you go with that bob', 'bob who']"
209,208,429,208_fantasy_stereotyping_stereotype_stereotypes,"['fantasy', 'stereotyping', 'stereotype', 'stereotypes', 'sucker', 'world', 'nice', 'jack', 'impotent', 'fantasies']","['such a fantasy', 'your fantasy', ""no it's your fantasy""]"
210,209,420,209_rube_rubes_rubles_ruble,"['rube', 'rubes', 'rubles', 'ruble', 'herded', 'rub', 'lol', 'herding', 'ha', 'foxinite']","['rube i know you are but what am i', ""here's a rube that would"", ""you're next rube""]"
211,210,413,210_kool_aid_orwell_drinking,"['kool', 'aid', 'orwell', 'drinking', 'ollie', 'orwellian', 'drink', 'drank', 'qanon', 'dan']","['kool aid', 'more kool aid for you', 'where do i get the kool aid']"
212,211,410,211_jared_tulsi_gabbard_jareds,"['jared', 'tulsi', 'gabbard', 'jareds', 'wilbur', 'ross', 'seth', 'kamala', 'tulsis', 'bernie']","['also jared', 'not jared', 'jared too']"
213,212,410,212_kerry_john_kerrys_certificate,"['kerry', 'john', 'kerrys', 'certificate', 'birth', 'heinz', 'obama', 'carter', 'records', 'born']","['john kerry', ""it's not really up to kerry now is it"", 'please give kerry some time']"
214,213,409,213_repeal_replace_repealed_panels,"['repeal', 'replace', 'repealed', 'panels', 'repealing', 'replacement', 'death', 'gop', 'plan', 'skinny']","['repeal it', 'repeal it now', 'repeal and replace repeal and replace repeal and repeal and repeal']"
215,214,404,214_foia_transcript_memo_transcripts,"['foia', 'transcript', 'memo', 'transcripts', 'fbi', 'comey', 'lynch', 'classified', 'documents', 'release']","['use foia and get a list if you want one', 'no they are not supposed to be foia', 'foia republicans hate it']"
216,215,402,215_carter_jimmy_carters_president,"['carter', 'jimmy', 'carters', 'president', 'peanut', 'worst', 'certificate', 'birth', 'ash', 'farm']","['no that was carter', 'see jimmy carter years for that', 'jimmy carter did']"
217,216,402,216_susie_madame_hon_lol,"['susie', 'madame', 'hon', 'lol', 'slightly', 'hmmm', 'specifically', '', '', '']","['lol how so', 'how so hon', 'how so madame']"
218,217,395,217_nobel_bergdahl_prize_peace,"['nobel', 'bergdahl', 'prize', 'peace', 'bowe', 'deserter', 'bergdahls', 'noble', 'desertion', 'nominated']","['yeah that and the nobel peace prize', 'so did the nobel peace prize', 'nobel peace prize']"
219,218,395,218_veto_override_vetoed_executive,"['veto', 'override', 'vetoed', 'executive', 'overridden', 'obama', 'orders', 'congress', 'vetoes', 'obamas']","['veto veto', 'veto this bill', 'so will obama veto it']"
220,219,392,219_cares_course_aszclown_hahahahaahahahaha,"['cares', 'course', 'aszclown', 'hahahahaahahahaha', 'meh', 'ummm', 'wow', 'yerseff', 'curmudgeon', 'hahaahah']","['who cares', 'who cares', 'who cares']"
221,220,386,220_franken_al_todd_lolita,"['franken', 'al', 'todd', 'lolita', 'frankens', 'chuck', 'resign', 'plagiarism', 'frankin', 'express']","['al franken', 'and why not franken', 'and franken']"
222,221,384,221_predictions_prediction_zero_dream,"['predictions', 'prediction', 'zero', 'dream', 'predicted', 'odds', 'zeros', 'dreams', 'ea', 'dreaming']","['not time for those predictions yet we got a few more of these to do first', 'more predictions lol', 'those are both still predictions']"
223,222,384,222_vlad_vlads_gulag_vlady,"['vlad', 'vlads', 'gulag', 'vlady', 'impaler', 'vladdy', 'gulags', 'novochoked', 'vladolph', 'nice']","['by who vlad', 'do something vlad', 'whatever vlad']"
